frame,class,id,x_center,y_center,x,y,w,h
45,car,1,191.30681,665.67004,1.6257946,564.1845,379.36203,202.97101
45,truck,2,177.2589,405.4355,163.89432,390.16965,26.729156,30.531647
46,car,1,191.33324,665.8346,2.3985357,564.8647,377.86942,201.93988
46,truck,2,177.31584,405.46814,163.74008,389.9448,27.15152,31.046722
47,car,1,191.37132,666.6378,1.8755406,565.4102,378.99158,202.45526
47,truck,2,177.30728,405.6138,163.6528,390.00888,27.30896,31.209839
48,car,1,191.37216,665.08105,2.6232858,564.3729,377.49774,201.4162
48,truck,2,177.38101,405.76053,163.55305,389.95743,27.65593,31.606201
49,car,1,191.40617,666.8106,2.5514622,566.1377,377.7094,201.34583
49,truck,2,177.23117,405.91315,163.53758,390.29327,27.387161,31.239746
50,car,1,191.34636,665.807,1.9286757,564.8722,378.83536,201.86969
50,truck,2,177.19867,405.5752,163.36475,389.78815,27.667847,31.574097
51,car,1,191.0,666.29785,0.0,563.7794,382.0,205.03687
51,truck,2,176.93843,404.48444,162.57936,388.0087,28.71814,32.951508
52,car,1,191.18733,666.0852,0.37467036,564.1222,381.62534,203.92596
52,truck,2,176.89166,404.08618,162.3736,387.3491,29.036118,33.474213
53,car,1,191.1591,665.6721,0.3181858,563.64795,381.68182,204.04834
53,truck,2,176.86934,403.81897,162.26538,386.8966,29.207916,33.844727
54,car,1,191.31972,666.1354,0.63943845,564.08826,381.36057,204.09424
54,truck,2,177.00533,403.54755,162.47218,386.6373,29.066284,33.820526
55,car,1,191.40866,665.1229,0.8829974,563.34283,381.05133,203.56012
55,truck,2,177.48653,403.91217,162.91692,386.9044,29.139221,34.015533
56,car,1,191.41173,665.5268,2.9931357,565.0658,376.8372,200.922
56,truck,2,177.624,404.46655,163.21779,387.66525,28.812408,33.60257
57,car,1,191.40118,666.59766,2.0456626,565.675,378.71103,201.84534
57,truck,2,177.7351,404.6802,163.37637,387.94824,28.717484,33.46393
58,car,1,191.32065,665.8884,2.0172565,565.065,378.60678,201.64685
58,truck,2,177.65019,404.80536,163.12708,387.87778,29.046234,33.855194
59,car,1,191.26999,665.47424,1.3254617,564.32184,379.88907,202.30475
59,truck,2,177.72113,405.1064,163.20119,388.18994,29.039871,33.832947
60,car,1,191.25992,665.7035,0.5198545,563.75806,381.48013,203.89093
60,truck,2,177.9649,405.16748,163.31125,388.05954,29.307312,34.21585
61,car,1,191.0,665.8152,0.0,563.0698,382.0,205.49072
61,truck,2,178.06863,405.20874,163.2195,387.8228,29.698288,34.77185
